targetSize,pdx,pdy,btn
57,1,-7,0
57,0,-7,0
57,0,-7,0
57,0,-6,0
57,0,-6,0
57,0,-5,0
57,0,1,0
57,0,1,0
57,-1,0,0
57,-2,0,0
57,-3,-1,0
57,-5,-1,0
57,-5,-1,0
57,-4,-2,0
57,-3,-2,0
57,-3,-1,0
57,-2,-1,0
57,-3,-1,0
57,-4,-2,0
57,-6,-3,0
57,-7,-4,0
57,-8,-5,0
57,-9,-7,0
57,-10,-9,0
57,-10,-10,0
57,-11,-10,0
57,-11,-10,0
57,-11,-10,0
57,-11,-9,0
57,-11,-8,0
57,-11,-7,0
57,-11,-7,0
57,-11,-6,0
57,-11,-6,0
57,-10,-5,0
57,-9,-5,0
57,-8,-4,0
57,-7,-4,0
57,-6,-3,0
57,-5,-3,0
57,-4,-2,0
57,-4,-2,0
57,-3,-2,0
57,-3,-1,0
57,-3,-1,0
52,-3,-1,0
52,0,1,0
52,0,1,0
52,0,1,0
52,0,1,0
52,0,1,0
52,0,1,0
52,0,1,0
52,0,1,0
52,0,1,0
52,0,1,0
52,0,1,0
52,0,0,0
52,-1,0,0
52,-2,0,0
52,-2,0,0
52,-4,-1,0
52,-6,-1,0
52,-8,-3,0
52,-9,-4,0
52,-10,-4,0
52,-11,-5,0
52,-12,-6,0
52,-13,-7,0
52,-15,-8,0
52,-16,-9,0
52,-16,-9,0
52,-16,-9,0
52,-16,-9,0
52,-15,-9,0
52,-15,-8,0
52,-14,-8,0
52,-14,-7,0
52,-13,-6,0
52,-13,-5,0
52,-12,-5,0
52,-11,-4,0
52,-10,-4,0
52,-9,-4,0
52,-8,-4,0
52,-7,-3,0
52,-6,-3,0
52,-5,-3,0
52,-4,-2,0
52,-3,-2,0
52,-3,-2,0
52,-2,-1,0
52,-2,-1,0
52,-2,0,0
52,-2,1,0
52,-2,2,0
52,-2,2,0
52,0,3,0
52,1,4,0
52,3,4,0
52,4,4,0
52,4,4,0
52,4,4,0
23,4,3,0
23,0,1,0
23,-1,3,0
23,-4,6,0
23,-6,7,0
23,-7,9,0
23,-6,9,0
23,-8,8,0
23,-7,6,0
23,-4,5,0
23,-1,3,0
23,-1,0,0
23,-4,1,0
23,-6,1,0
23,-6,2,0
23,-6,3,0
23,-3,3,0
23,-1,3,0
23,-2,6,0
23,-2,5,0
23,-3,6,0
23,-3,6,0
23,-3,7,0
23,-3,7,0
23,-3,7,0
23,-3,7,0
23,-3,7,0
23,-3,7,0
23,-3,7,0
23,-3,7,0
23,-3,7,0
23,-3,7,0
23,-3,6,0
23,-3,6,0
23,-3,6,0
23,-3,6,0
23,-2,6,0
23,-2,5,0
23,-2,5,0
23,-2,5,0
23,-2,5,0
23,-2,5,0
23,-2,5,0
23,-2,5,0
23,-2,5,0
23,-2,5,0
23,-2,4,0
23,-2,4,0
23,-2,4,0
23,-2,4,0
23,-2,4,0
23,-2,4,0
23,-2,4,0
23,-2,4,0
23,-2,4,0
23,-2,4,0
23,-2,4,0
23,-2,4,0
23,-2,4,0
23,-2,4,0
23,-2,4,0
23,-2,4,0
23,-1,4,0
23,-1,4,0
23,-1,4,0
23,-1,4,0
23,-1,4,0
23,-1,4,0
23,-1,4,0
23,-1,4,0
23,-1,4,0
23,-2,4,0
23,-2,3,0
23,-3,3,0
23,-3,3,0
23,-4,3,0
23,-4,3,0
23,-4,2,0
23,-5,2,0
23,-5,2,0
23,-5,2,0
23,-5,2,0
23,-5,2,0
23,-5,2,0
23,-5,2,0
23,-5,2,0
23,-5,2,0
23,-5,2,0
23,-5,2,0
23,-5,2,0
23,-5,1,0
23,-5,1,0
23,-5,1,0
23,-5,0,0
23,-5,0,0
23,-5,0,0
23,-5,0,0
23,-5,-1,0
23,-5,-1,0
23,-5,-1,0
23,-5,-1,0
23,-5,-2,0
23,-5,-2,0
23,-5,-2,0
23,-5,-2,0
23,-5,-2,0
23,-5,-2,0
23,-5,-2,0
23,-5,-2,0
23,-5,-2,0
23,-5,-2,0
23,-5,-2,0
23,-4,-2,0
23,-4,-2,0
23,-4,-2,0
23,-4,-2,0
39,-4,-2,0
39,-2,0,0
39,0,2,0
39,1,5,0
39,2,7,0
39,3,8,0
39,3,9,0
39,4,10,0
39,2,11,0
39,3,12,0
39,4,12,0
39,5,13,0
39,4,12,0
39,3,14,0
39,4,14,0
39,5,14,0
39,7,13,0
39,9,14,0
39,9,13,0
39,9,12,0
39,8,10,0
39,8,9,0
39,8,8,0
39,8,7,0
39,8,6,0
39,8,6,0
39,7,5,0
39,6,4,0
39,5,4,0
39,5,4,0
39,4,3,0
39,4,3,0
39,3,3,0
39,3,3,0
39,3,3,0
