dx,rx
0,-0.0
0,-0.0
0,-0.0
1,2.0
1,2.0
0,-0.0
1,2.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
-1,-2.0
0,-0.0
-1,-2.0
-1,-2.0
-1,-2.0
-1,-2.0
0,-0.0
-1,-2.0
-1,-2.0
-1,-2.0
0,-0.0
-1,-2.0
-1,-2.0
-1,-2.0
0,-0.0
-1,-2.0
-1,-2.0
-1,-2.0
-1,-2.0
-1,-2.0
-1,-2.0
0,-0.0
-1,-2.0
0,-0.0
-1,-2.0
-1,-2.0
0,-0.0
0,-0.0
0,-0.0
1,2.0
0,-0.0
1,2.0
0,-0.0
1,2.0
0,-0.0
1,2.0
0,-0.0
1,2.0
0,-0.0
1,2.0
1,2.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
1,2.0
1,2.0
0,-0.0
2,4.0
1,2.0
2,4.0
2,4.0
4,8.0
4,8.0
4,8.0
7,14.0
12,24.0
13,26.0
15,30.0
17,34.0
22,44.0
26,52.0
27,54.0
26,52.0
23,46.0
20,40.0
16,32.0
14,28.0
13,26.0
14,28.0
12,24.0
10,20.0
7,14.0
5,10.0
4,8.0
4,8.0
2,4.0
3,6.0
3,6.0
3,6.0
2,4.0
1,2.0
2,4.0
1,2.0
1,2.0
1,2.0
2,4.0
2,4.0
3,6.0
3,6.0
3,6.0
4,8.0
4,8.0
4,8.0
2,4.0
3,6.0
2,4.0
3,6.0
3,6.0
4,8.0
2,4.0
3,6.0
5,10.0
4,8.0
4,8.0
4,8.0
3,6.0
1,2.0
2,4.0
2,4.0
2,4.0
2,4.0
3,6.0
1,2.0
2,4.0
2,4.0
1,2.0
2,4.0
1,2.0
2,4.0
1,2.0
1,2.0
1,2.0
1,2.0
0,-0.0
0,-0.0
-1,-2.0
-1,-2.0
-1,-2.0
-3,-6.0
-2,-4.0
-3,-6.0
-5,-10.0
-5,-10.0
-6,-12.0
-7,-14.0
-9,-18.0
-10,-20.0
-10,-20.0
-13,-26.0
-13,-26.0
-15,-30.0
-18,-36.0
-19,-38.0
-18,-36.0
-18,-36.0
-14,-28.0
