dx,dy,rx,ry,button,time,distance,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY,targetID
1,-1,0.6899999976158142,-0.6899999976158142,0,1.360868215560913,258.2088738278434,256,-80,1502,458,20,960,540,1
1,0,0.6899999976158142,-0.0,0,1.3610031604766846,258.2088738278434,256,-80,1502,458,20,960,540,1
1,-1,0.6899999976158142,-0.6899999976158142,0,1.3612282276153564,258.2088738278434,256,-80,1502,458,20,960,540,1
1,0,0.6899999976158142,-0.0,0,1.363356351852417,258.2088738278434,256,-80,1502,458,20,960,540,1
1,-1,0.6899999976158142,-0.6899999976158142,0,1.3653912544250488,258.2088738278434,256,-80,1502,458,20,960,540,1
1,-1,0.6899999976158142,-0.6899999976158142,0,1.3709602355957031,258.2088738278434,256,-80,1502,458,20,960,540,1
1,0,0.6899999976158142,-0.0,0,1.3710792064666748,258.2088738278434,256,-80,1502,458,20,960,540,1
2,-1,1.5800000429153442,-0.7900000214576721,0,1.3712491989135742,257.25456029785533,255,-80,1502,458,20,960,540,1
1,-1,0.6899999976158142,-0.6899999976158142,0,1.373244285583496,257.25456029785533,255,-80,1502,458,20,960,540,1
2,-1,1.5800000429153442,-0.7900000214576721,0,1.3753292560577393,256.3005820496831,254,-80,1502,458,20,960,540,1
1,-1,0.6899999976158142,-0.6899999976158142,0,1.3819682598114014,256.3005820496831,254,-80,1502,458,20,960,540,1
2,0,1.5800000429153442,-0.0,0,1.3821213245391846,255.34694269955327,253,-80,1502,458,20,960,540,1
1,-1,0.6899999976158142,-0.6899999976158142,0,1.3821601867675781,255.34694269955327,253,-80,1502,458,20,960,540,1
2,-1,1.5800000429153442,-0.7900000214576721,0,1.383324146270752,254.39364591457183,252,-80,1502,458,20,960,540,1
1,-1,0.6899999976158142,-0.6899999976158142,0,1.3852272033691406,254.39364591457183,252,-80,1502,458,20,960,540,1
1,-1,0.6899999976158142,-0.6899999976158142,0,1.3875453472137451,254.39364591457183,252,-80,1502,458,20,960,540,1
2,-1,1.5800000429153442,-0.7900000214576721,0,1.3937041759490967,253.44069541359778,251,-80,1502,458,20,960,540,1
1,-1,0.6899999976158142,-0.6899999976158142,0,1.3938932418823242,253.44069541359778,251,-80,1502,458,20,960,540,1
1,-1,0.6899999976158142,-0.6899999976158142,0,1.393916130065918,253.44069541359778,251,-80,1502,458,20,960,540,1
2,-1,1.5800000429153442,-0.7900000214576721,0,1.3953382968902588,252.48809496813374,250,-80,1502,458,20,960,540,1
1,-1,0.6899999976158142,-0.6899999976158142,0,1.3971502780914307,252.48809496813374,250,-80,1502,458,20,960,540,1
1,0,0.6899999976158142,-0.0,0,1.4066572189331055,252.48809496813374,250,-80,1502,458,20,960,540,1
1,-1,0.6899999976158142,-0.6899999976158142,0,1.406933307647705,252.48809496813374,250,-80,1502,458,20,960,540,1
1,-1,0.6899999976158142,-0.6899999976158142,0,1.4069571495056152,252.48809496813374,250,-80,1502,458,20,960,540,1
1,-1,0.6899999976158142,-0.6899999976158142,0,1.406980276107788,252.48809496813374,250,-80,1502,458,20,960,540,1
2,-1,1.5800000429153442,-0.7900000214576721,0,1.4072513580322266,251.53584840323515,249,-80,1502,458,20,960,540,1
1,-1,0.6899999976158142,-0.6899999976158142,0,1.409297227859497,251.53584840323515,249,-80,1502,458,20,960,540,1
1,-1,0.6899999976158142,-0.6899999976158142,0,1.4114131927490234,251.53584840323515,249,-80,1502,458,20,960,540,1
2,-1,1.5800000429153442,-0.7900000214576721,0,1.4176902770996094,250.58395959843727,248,-80,1502,458,20,960,540,1
2,-1,1.5800000429153442,-0.7900000214576721,0,1.4179723262786865,249.63243248870123,247,-80,1502,458,20,960,540,1
1,-1,0.6899999976158142,-0.6899999976158142,0,1.417992353439331,249.63243248870123,247,-80,1502,458,20,960,540,1
2,-2,1.5800000429153442,-1.5800000429153442,0,1.4196062088012695,248.3737602776257,246,-79,1502,458,20,960,540,1
2,-1,1.5800000429153442,-0.7900000214576721,0,1.429253339767456,247.42183279589943,245,-79,1502,458,20,960,540,1
1,-1,0.6899999976158142,-0.6899999976158142,0,1.4294531345367432,247.42183279589943,245,-79,1502,458,20,960,540,1
2,-1,1.5800000429153442,-0.7900000214576721,0,1.4294722080230713,246.47027118167125,244,-79,1502,458,20,960,540,1
