dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY
-2,2,0,-1.5800000429153442,1.5800000429153442,1.0574612617492676,11.033296378372908,27,1,15,1578,68,9,616,1043
-2,2,0,-1.5800000429153442,1.5800000429153442,1.065502405166626,10.142135623730951,27,2,14,1578,68,9,616,1043
-1,2,0,-0.7900000214576721,1.5800000429153442,1.0736043453216553,9.152946437965905,27,2,13,1578,68,9,616,1043
-1,1,0,-0.6899999976158142,0.6899999976158142,1.0817193984985352,9.152946437965905,27,2,13,1578,68,9,616,1043
-1,2,0,-0.7900000214576721,1.5800000429153442,1.089531421661377,8.165525060596439,27,2,12,1578,68,9,616,1043
-1,3,0,-0.8733332753181458,2.6199998259544373,1.097635269165039,6.198039027185569,27,2,10,1578,68,9,616,1043
-1,3,0,-0.8733332753181458,2.6199998259544373,1.1057233810424805,4.246211251235321,27,2,8,1578,68,9,616,1043
-1,3,0,-0.8733332753181458,2.6199998259544373,1.1137053966522217,2.324555320336759,27,2,6,1578,68,9,616,1043
-1,3,0,-0.8733332753181458,2.6199998259544373,1.1215794086456299,0.4721359549995796,27,2,4,1578,68,9,616,1043
0,1,0,-0.0,0.6899999976158142,1.1297123432159424,0.4721359549995796,27,2,4,1578,68,9,616,1043
0,1,0,-0.0,0.6899999976158142,1.1374902725219727,0.4721359549995796,27,2,4,1578,68,9,616,1043
0,1,0,-0.0,0.6899999976158142,1.1455492973327637,0.4721359549995796,27,2,4,1578,68,9,616,1043
0,1,0,-0.0,0.6899999976158142,1.1534833908081055,0.4721359549995796,27,2,4,1578,68,9,616,1043
0,0,1,-0.0,-0.0,1.1785054206848145,0.4721359549995796,27,2,4,1578,68,9,616,1043
1,1,1,0.6899999976158142,0.6899999976158142,0.04699373245239258,911.2565928738585,28,-722,607,854,671,64,1576,64
1,0,1,0.6899999976158142,-0.0,0.055002689361572266,911.2565928738585,28,-722,607,854,671,64,1576,64
1,0,1,0.6899999976158142,-0.0,0.06294584274291992,911.2565928738585,28,-722,607,854,671,64,1576,64
1,0,1,0.6899999976158142,-0.0,0.08696269989013672,911.2565928738585,28,-722,607,854,671,64,1576,64
