dx,dy,button,rx,ry,time,distance,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY,targetID
-5,-6,0,-5.900000333786011,-7.080000400543213,0.50809645652771,132.8481963988506,-55,-134,683,72,24,1142,925,12
-6,-7,0,-7.639999866485596,-8.913333177566528,0.5160114765167236,122.8332303254654,-48,-126,683,72,24,1142,925,12
-5,-7,0,-6.162499785423279,-8.62749969959259,0.5240495204925537,113.25174649480941,-42,-118,683,72,24,1142,925,12
-4,-6,0,-4.720000267028809,-7.080000400543213,0.5319864749908447,105.32433677630571,-38,-111,683,72,24,1142,925,12
-3,-7,0,-3.5400002002716064,-8.260000467300415,0.5399374961853027,96.78419002777932,-35,-103,683,72,24,1142,925,12
-3,-7,0,-3.5400002002716064,-8.260000467300415,0.5482275485992432,88.24470060806208,-32,-95,683,72,24,1142,925,12
-3,-7,0,-3.5400002002716064,-8.260000467300415,0.5559914112091064,79.706052144883,-29,-87,683,72,24,1142,925,12
-3,-7,0,-3.5400002002716064,-8.260000467300415,0.5641136169433594,71.16850365372699,-26,-79,683,72,24,1142,925,12
-2,-6,0,-2.2233333587646484,-6.670000076293945,0.5720245838165283,64.84399781375251,-24,-73,683,72,24,1142,925,12
-2,-6,0,-2.2233333587646484,-6.670000076293945,0.5800075531005859,58.51950084905593,-22,-67,683,72,24,1142,925,12
-2,-7,0,-2.3600001335144043,-8.260000467300415,0.5879385471343994,50.297672508690084,-20,-59,683,72,24,1142,925,12
-2,-8,0,-2.4649999141693115,-9.859999656677246,0.5969314575195312,41.14132102234569,-18,-50,683,72,24,1142,925,12
-2,-7,0,-2.3600001335144043,-8.260000467300415,0.6042075157165527,32.94441010848846,-16,-42,683,72,24,1142,925,12
-2,-7,0,-2.3600001335144043,-8.260000467300415,0.6122674942016602,24.76955262170047,-14,-34,683,72,24,1142,925,12
-2,-5,0,-2.0239999294281006,-5.0599998235702515,0.6200106143951416,19.38470965295043,-12,-29,683,72,24,1142,925,12
-2,-6,0,-2.2233333587646484,-6.670000076293945,0.6280524730682373,13.079872407968907,-10,-23,683,72,24,1142,925,12
-3,-4,0,-3.035999894142151,-4.047999858856201,0.6359214782714844,8.248456731316587,-7,-19,683,72,24,1142,925,12
-3,-5,0,-3.035999894142151,-5.0599998235702515,0.6438755989074707,2.560219778561036,-4,-14,683,72,24,1142,925,12
-2,-4,0,-1.840000033378601,-3.680000066757202,0.6519594192504883,-0.5982457490086208,-3,-11,683,72,24,1142,925,12
-2,-4,0,-1.840000033378601,-3.680000066757202,0.6602764129638672,-3.753788748764679,-2,-8,683,72,24,1142,925,12
-2,-4,0,-1.840000033378601,-3.680000066757202,0.668149471282959,-6.9009804864072155,-1,-5,683,72,24,1142,925,12
-2,-3,0,-1.7466665506362915,-2.6199998259544373,0.6760644912719727,-9.0,0,-3,683,72,24,1142,925,12
-1,-3,0,-0.8733332753181458,-2.6199998259544373,0.6840815544128418,-11.0,0,-1,683,72,24,1142,925,12
-1,-2,0,-0.7900000214576721,-1.5800000429153442,0.6920695304870605,-12.0,0,0,683,72,24,1142,925,12
-1,-4,0,-0.9200000166893005,-3.680000066757202,0.6998984813690186,-9.0,0,3,683,72,24,1142,925,12
