dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY
-21,14,0,-47.5356023311615,31.690401554107666,12.045889616012573,1297.1585824570795,27,-1158,636,133,1116,49,1363,485
-21,12,0,-46.62875247001648,26.64500141143799,12.05377459526062,1244.3233026322587,27,-1112,610,133,1116,49,1363,485
-19,12,0,-40.32318186759949,25.467272758483887,12.061784505844116,1197.2325740824308,27,-1072,585,133,1116,49,1363,485
-16,9,0,-29.768890380859375,16.7450008392334,12.069840669631958,1164.1119475874316,27,-1043,569,133,1116,49,1363,485
-15,9,0,-26.6294127702713,15.97764766216278,12.077919483184814,1134.1040540469583,27,-1017,554,133,1116,49,1363,485
-11,6,0,-14.895832896232605,8.124999761581421,12.085917711257935,1117.9829245658623,27,-1003,546,133,1116,49,1363,485
-8,5,0,-10.186666488647461,6.366666555404663,12.093818664550781,1106.3313673432228,27,-993,540,133,1116,49,1363,485
-7,4,0,-8.62749969959259,4.929999828338623,12.101991653442383,1097.392437998402,27,-985,536,133,1116,49,1363,485
-3,3,0,-2.7600000500679016,2.7600000500679016,12.110042572021484,1094.6800257446273,27,-983,534,133,1116,49,1363,485
-2,0,0,-1.5800000429153442,-0.0,12.117802619934082,1093.8014134898917,27,-982,534,133,1116,49,1363,485
-1,0,0,-0.6899999976158142,-0.0,12.12563967704773,1093.8014134898917,27,-982,534,133,1116,49,1363,485
-1,0,0,-0.6899999976158142,-0.0,12.141753673553467,1093.8014134898917,27,-982,534,133,1116,49,1363,485
-1,0,0,-0.6899999976158142,-0.0,12.149645566940308,1093.8014134898917,27,-982,534,133,1116,49,1363,485
-1,0,0,-0.6899999976158142,-0.0,12.15764570236206,1093.8014134898917,27,-982,534,133,1116,49,1363,485
-1,0,0,-0.6899999976158142,-0.0,12.183175563812256,1093.8014134898917,27,-982,534,133,1116,49,1363,485
-1,0,0,-0.6899999976158142,-0.0,12.184635639190674,1093.8014134898917,27,-982,534,133,1116,49,1363,485
-1,1,0,-0.6899999976158142,0.6899999976158142,12.197680711746216,1093.8014134898917,27,-982,534,133,1116,49,1363,485
-1,0,0,-0.6899999976158142,-0.0,12.205653667449951,1093.8014134898917,27,-982,534,133,1116,49,1363,485
0,0,0,-0.0,-0.0,12.207721710205078,1093.8014134898917,27,-982,534,133,1116,49,1363,485
0,0,0,-0.0,-0.0,12.235657691955566,1093.8014134898917,27,-982,534,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,12.253751516342163,1093.8014134898917,27,-982,534,133,1116,49,1363,485
0,0,0,-0.0,-0.0,12.261675596237183,1093.8014134898917,27,-982,534,133,1116,49,1363,485
0,0,0,-0.0,-0.0,12.285677671432495,1093.8014134898917,27,-982,534,133,1116,49,1363,485
-1,0,0,-0.6899999976158142,-0.0,12.293669700622559,1093.8014134898917,27,-982,534,133,1116,49,1363,485
0,0,0,-0.0,-0.0,12.334692478179932,1093.8014134898917,27,-982,534,133,1116,49,1363,485
0,2,0,-0.0,1.5800000429153442,14.214165687561035,1093.3240353630633,27,-982,533,133,1116,49,1363,485
0,2,0,-0.0,1.5800000429153442,14.221891641616821,1092.8473485664906,27,-982,532,133,1116,49,1363,485
0,2,0,-0.0,1.5800000429153442,14.230117559432983,1092.3713539857604,27,-982,531,133,1116,49,1363,485
0,2,0,-0.0,1.5800000429153442,14.237791538238525,1091.8960525066839,27,-982,530,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,14.245803594589233,1091.421445015291,27,-982,529,133,1116,49,1363,485
0,2,0,-0.0,1.5800000429153442,14.253792524337769,1090.9475323978254,27,-982,528,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,14.261781692504883,1090.4743155407396,27,-982,527,133,1116,49,1363,485
0,2,0,-0.0,1.5800000429153442,14.269890546798706,1090.0017953306897,27,-982,526,133,1116,49,1363,485
-2,3,0,-1.7466665506362915,2.6199998259544373,14.277846574783325,1088.1766945948832,27,-981,524,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,14.286078691482544,1087.7058963592845,27,-981,523,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,14.294147491455078,1087.2357985594238,27,-981,522,133,1116,49,1363,485
-1,1,0,-0.6899999976158142,0.6899999976158142,14.301759481430054,1087.2357985594238,27,-981,522,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,14.309850692749023,1087.2357985594238,27,-981,522,133,1116,49,1363,485
-1,1,0,-0.6899999976158142,0.6899999976158142,14.31789255142212,1087.2357985594238,27,-981,522,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,14.326047658920288,1087.2357985594238,27,-981,522,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,14.877974510192871,1087.2357985594238,27,-981,522,133,1116,49,1363,485
-1,1,0,-0.6899999976158142,0.6899999976158142,14.886146545410156,1087.2357985594238,27,-981,522,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,14.89409065246582,1086.7664020846148,27,-981,521,133,1116,49,1363,485
-2,2,0,-1.5800000429153442,1.5800000429153442,14.9017915725708,1085.414259868693,27,-980,520,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,14.909783601760864,1085.414259868693,27,-980,520,133,1116,49,1363,485
-1,1,0,-0.6899999976158142,0.6899999976158142,14.917796611785889,1085.414259868693,27,-980,520,133,1116,49,1363,485
-1,1,0,-0.6899999976158142,0.6899999976158142,14.92596960067749,1085.414259868693,27,-980,520,133,1116,49,1363,485
-1,1,0,-0.6899999976158142,0.6899999976158142,14.933907508850098,1085.414259868693,27,-980,520,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,14.941990613937378,1085.414259868693,27,-980,520,133,1116,49,1363,485
-1,1,0,-0.6899999976158142,0.6899999976158142,14.949978590011597,1085.414259868693,27,-980,520,133,1116,49,1363,485
-1,0,0,-0.6899999976158142,-0.0,14.957847595214844,1085.414259868693,27,-980,520,133,1116,49,1363,485
-1,1,0,-0.6899999976158142,0.6899999976158142,14.966165542602539,1085.414259868693,27,-980,520,133,1116,49,1363,485
-1,1,0,-0.6899999976158142,0.6899999976158142,14.974122524261475,1085.414259868693,27,-980,520,133,1116,49,1363,485
-1,1,0,-0.6899999976158142,0.6899999976158142,14.981984615325928,1085.414259868693,27,-980,520,133,1116,49,1363,485
-1,1,0,-0.6899999976158142,0.6899999976158142,14.989923477172852,1085.414259868693,27,-980,520,133,1116,49,1363,485
-2,2,0,-1.5800000429153442,1.5800000429153442,14.997709512710571,1084.0622726182858,27,-979,519,133,1116,49,1363,485
-1,1,0,-0.6899999976158142,0.6899999976158142,15.005780696868896,1084.0622726182858,27,-979,519,133,1116,49,1363,485
-2,1,0,-1.5800000429153442,0.7900000214576721,15.013750553131104,1083.1788473412955,27,-978,519,133,1116,49,1363,485
-1,1,0,-0.6899999976158142,0.6899999976158142,15.021968603134155,1083.1788473412955,27,-978,519,133,1116,49,1363,485
-1,1,0,-0.6899999976158142,0.6899999976158142,15.029748678207397,1083.1788473412955,27,-978,519,133,1116,49,1363,485
-2,0,0,-1.5800000429153442,-0.0,15.037746667861938,1082.2956205282564,27,-977,519,133,1116,49,1363,485
-2,1,0,-1.5800000429153442,0.7900000214576721,15.045987606048584,1081.4125926548875,27,-976,519,133,1116,49,1363,485
-2,1,0,-1.5800000429153442,0.7900000214576721,15.053786516189575,1080.5297641983216,27,-975,519,133,1116,49,1363,485
-2,2,0,-1.5800000429153442,1.5800000429153442,15.0618896484375,1079.177229641729,27,-974,518,133,1116,49,1363,485
-2,1,0,-1.5800000429153442,0.7900000214576721,15.069864511489868,1078.2944252784735,27,-973,518,133,1116,49,1363,485
-4,2,0,-3.680000066757202,1.840000033378601,15.077748537063599,1075.1765099382355,27,-970,517,133,1116,49,1363,485
-3,2,0,-2.6199998259544373,1.7466665506362915,15.085869550704956,1072.9412017059074,27,-968,516,133,1116,49,1363,485
-5,2,0,-5.0599998235702515,2.0239999294281006,15.093885660171509,1067.5882923520205,27,-963,514,133,1116,49,1363,485
-5,2,0,-5.0599998235702515,2.0239999294281006,15.101810693740845,1062.2357018621694,27,-958,512,133,1116,49,1363,485
-7,4,0,-8.62749969959259,4.929999828338623,15.110007524490356,1053.2947600355253,27,-950,508,133,1116,49,1363,485
-7,3,0,-8.260000467300415,3.5400002002716064,15.117911577224731,1044.8259914504324,27,-942,505,133,1116,49,1363,485
-7,4,0,-8.62749969959259,4.929999828338623,15.12606167793274,1035.8853711604854,27,-934,501,133,1116,49,1363,485
-7,3,0,-8.260000467300415,3.5400002002716064,15.133927583694458,1027.4180900098686,27,-926,498,133,1116,49,1363,485
-6,4,0,-7.080000400543213,4.720000267028809,15.141896486282349,1019.3585193978147,27,-919,494,133,1116,49,1363,485
-5,4,0,-5.558333396911621,4.446666717529297,15.149803638458252,1013.0612325219761,27,-914,490,133,1116,49,1363,485
-5,5,0,-5.900000333786011,5.900000333786011,15.157740592956543,1006.294132760155,27,-909,485,133,1116,49,1363,485
-4,6,0,-4.720000267028809,7.080000400543213,15.165711641311646,999.4788713012106,27,-905,478,133,1116,49,1363,485
-2,5,0,-2.0239999294281006,5.0599998235702515,15.173750638961792,995.381184837154,27,-903,473,133,1116,49,1363,485
-2,5,0,-2.0239999294281006,5.0599998235702515,15.181768655776978,991.2955234807253,27,-901,468,133,1116,49,1363,485
-3,5,0,-3.035999894142151,5.0599998235702515,15.189797639846802,986.3331133838977,27,-898,463,133,1116,49,1363,485
-2,5,0,-2.0239999294281006,5.0599998235702515,15.197890520095825,982.2703414093054,27,-896,458,133,1116,49,1363,485
-2,5,0,-2.0239999294281006,5.0599998235702515,15.205917596817017,978.2200357206995,27,-894,453,133,1116,49,1363,485
-2,4,0,-1.840000033378601,3.680000066757202,15.213911533355713,975.9744996748667,27,-893,450,133,1116,49,1363,485
-1,5,0,-1.0119999647140503,5.0599998235702515,15.222099542617798,972.8395056376929,27,-892,445,133,1116,49,1363,485
-1,4,0,-0.9200000166893005,3.680000066757202,15.230019569396973,971.5038925087134,27,-892,442,133,1116,49,1363,485
0,7,0,-0.0,8.260000467300415,15.23774266242981,967.9778223327374,27,-892,434,133,1116,49,1363,485
0,10,0,-0.0,13.059999942779541,15.245879650115967,962.3594679425954,27,-892,421,133,1116,49,1363,485
0,9,0,-0.0,11.459999799728394,15.253814697265625,957.7148262097298,27,-892,410,133,1116,49,1363,485
0,8,0,-0.0,9.859999656677246,15.261805534362793,953.9902862503287,27,-892,401,133,1116,49,1363,485
-1,7,0,-1.1800000667572021,8.260000467300415,15.270026683807373,949.8223657320672,27,-891,393,133,1116,49,1363,485
0,8,0,-0.0,9.859999656677246,15.278000593185425,946.2252315828526,27,-891,384,133,1116,49,1363,485
0,8,0,-0.0,9.859999656677246,15.286021709442139,942.6985052228022,27,-891,375,133,1116,49,1363,485
1,8,0,1.2324999570846558,9.859999656677246,15.294037580490112,940.168035147401,27,-892,366,133,1116,49,1363,485
1,8,0,1.2324999570846558,9.859999656677246,15.30184268951416,937.7161743466728,27,-893,357,133,1116,49,1363,485
0,8,0,-0.0,9.859999656677246,15.309840679168701,934.4117069401855,27,-893,348,133,1116,49,1363,485
0,8,0,-0.0,9.859999656677246,15.318267583847046,931.1806111935061,27,-893,339,133,1116,49,1363,485
