dx,dy,button,rx,ry,time,distance,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY,targetID
7,3,0,8.260000467300415,3.5400002002716064,0.46028900146484375,38.53681120105021,63,14,1334,430,52,1015,329,18
8,2,0,9.859999656677246,2.4649999141693115,0.46810102462768555,29.317266743757322,54,12,1334,430,52,1015,329,18
7,4,0,8.62749969959259,4.929999828338623,0.47617101669311523,20.69047011971501,46,8,1334,430,52,1015,329,18
5,2,0,5.0599998235702515,2.0239999294281006,0.4842660427093506,15.43669871020132,41,6,1334,430,52,1015,329,18
4,1,0,3.680000066757202,0.9200000166893005,0.49256205558776855,12.470768123342687,38,6,1334,430,52,1015,329,18
4,2,0,3.680000066757202,1.840000033378601,0.500244140625,9.355339059327378,35,5,1334,430,52,1015,329,18
3,1,0,2.6199998259544373,0.8733332753181458,0.5081901550292969,7.376638536557273,33,5,1334,430,52,1015,329,18
2,1,0,1.5800000429153442,0.7900000214576721,0.5163171291351318,6.388269481403292,32,5,1334,430,52,1015,329,18
2,0,0,1.5800000429153442,-0.0,0.5242421627044678,5.4006369362151645,31,5,1334,430,52,1015,329,18
2,0,0,1.5800000429153442,-0.0,0.5322589874267578,4.413812651491099,30,5,1334,430,52,1015,329,18
2,0,0,1.5800000429153442,-0.0,0.5403470993041992,3.427877939124322,29,5,1334,430,52,1015,329,18
3,0,0,2.6199998259544373,-0.0,0.5482621192932129,1.4590604354919634,27,5,1334,430,52,1015,329,18
4,0,0,3.680000066757202,-0.0,0.5562050342559814,-1.4846986557374748,24,5,1334,430,52,1015,329,18
5,0,0,5.0599998235702515,-0.0,0.5641500949859619,-6.353117295611501,19,5,1334,430,52,1015,329,18
2,0,0,1.5800000429153442,-0.0,0.572113037109375,-7.3184583077305945,18,5,1334,430,52,1015,329,18
3,-1,0,2.6199998259544373,-0.8733332753181458,0.5803000926971436,-9.236945385759789,16,5,1334,430,52,1015,329,18
2,0,0,1.5800000429153442,-0.0,0.5882501602172852,-10.188611699158104,15,5,1334,430,52,1015,329,18
2,0,0,1.5800000429153442,-0.0,0.5962109565734863,-11.133931252681494,14,5,1334,430,52,1015,329,18
3,0,0,2.6199998259544373,-0.0,0.6041820049285889,-13.0,12,5,1334,430,52,1015,329,18
2,0,0,1.5800000429153442,-0.0,0.6123340129852295,-13.916954026405428,11,5,1334,430,52,1015,329,18
1,0,0,0.6899999976158142,-0.0,0.6201550960540771,-13.916954026405428,11,5,1334,430,52,1015,329,18
1,-1,0,0.6899999976158142,-0.6899999976158142,0.6281130313873291,-13.916954026405428,11,5,1334,430,52,1015,329,18
1,0,0,0.6899999976158142,-0.0,0.6361420154571533,-13.916954026405428,11,5,1334,430,52,1015,329,18
0,0,1,-0.0,-0.0,0.6370840072631836,-13.916954026405428,11,5,1334,430,52,1015,329,18
0,0,0,-0.0,-0.0,0.07299947738647461,745.6982154682337,430,619,1753,1044,16,1323,425,19
-1,1,0,-0.6899999976158142,0.6899999976158142,0.11481356620788574,745.6982154682337,430,619,1753,1044,16,1323,425,19
-1,0,0,-0.6899999976158142,-0.0,0.12288236618041992,745.6982154682337,430,619,1753,1044,16,1323,425,19
-1,2,0,-0.7900000214576721,1.5800000429153442,0.1309833526611328,744.8771480128747,430,618,1753,1044,16,1323,425,19
-1,1,0,-0.6899999976158142,0.6899999976158142,0.13886451721191406,744.8771480128747,430,618,1753,1044,16,1323,425,19
-3,0,0,-2.6199998259544373,-0.0,0.14679741859436035,746.0212198605553,432,618,1753,1044,16,1323,425,19
-4,1,0,-3.680000066757202,0.9200000166893005,0.15489935874938965,747.7440042765804,435,618,1753,1044,16,1323,425,19
-4,1,0,-3.680000066757202,0.9200000166893005,0.16297245025634766,749.4747520544827,438,618,1753,1044,16,1323,425,19
-4,0,0,-3.680000066757202,-0.0,0.17090940475463867,751.2134087330123,441,618,1753,1044,16,1323,425,19
-5,0,0,-5.0599998235702515,-0.0,0.178924560546875,754.12859807253,446,618,1753,1044,16,1323,425,19
-6,0,0,-6.670000076293945,-0.0,0.18689250946044922,757.6552749116275,452,618,1753,1044,16,1323,425,19
-6,0,0,-6.670000076293945,-0.0,0.1949934959411621,761.2125844004374,458,618,1753,1044,16,1323,425,19
-7,0,0,-8.260000467300415,-0.0,0.20287156105041504,766.0025839750149,466,618,1753,1044,16,1323,425,19
-6,0,0,-6.670000076293945,-0.0,0.21085143089294434,769.6297319418799,472,618,1753,1044,16,1323,425,19
-7,0,0,-8.260000467300415,-0.0,0.21902251243591309,774.5113417708397,480,618,1753,1044,16,1323,425,19
-6,0,0,-6.670000076293945,-0.0,0.22682738304138184,778.2060798543853,486,618,1753,1044,16,1323,425,19
-6,0,0,-6.670000076293945,-0.0,0.23481249809265137,781.9291107434894,492,618,1753,1044,16,1323,425,19
-4,0,0,-3.680000066757202,-0.0,0.24295449256896973,783.8011113909856,495,618,1753,1044,16,1323,425,19
-4,1,0,-3.680000066757202,0.9200000166893005,0.2509474754333496,785.6800362866638,498,618,1753,1044,16,1323,425,19
-4,3,0,-4.047999858856201,3.035999894142151,0.2590315341949463,785.8696366532732,502,615,1753,1044,16,1323,425,19
-2,4,0,-1.840000033378601,3.680000066757202,0.2668323516845703,784.1824284847524,503,612,1753,1044,16,1323,425,19
-1,5,0,-1.0119999647140503,5.0599998235702515,0.2747533321380615,780.9645112424259,504,607,1753,1044,16,1323,425,19
1,7,0,1.1800000667572021,8.260000467300415,0.28276944160461426,774.182843074431,503,599,1753,1044,16,1323,425,19
6,9,0,7.835999965667725,11.753999948501587,0.2908625602722168,761.2593840831582,496,588,1753,1044,16,1323,425,19
8,11,0,10.984615325927734,15.103846073150635,0.2989203929901123,743.3487871820917,486,573,1753,1044,16,1323,425,19
10,12,0,15.726666450500488,18.871999740600586,0.3068664073944092,719.9189515323804,471,555,1753,1044,16,1323,425,19
10,13,0,16.799999475479126,21.839999318122864,0.31476545333862305,693.5561274766261,455,534,1753,1044,16,1323,425,19
10,14,0,17.752941846847534,24.854118585586548,0.3227875232696533,664.2678037806064,438,510,1753,1044,16,1323,425,19
10,13,0,16.799999475479126,21.839999318122864,0.33084940910339355,637.914080973623,422,489,1753,1044,16,1323,425,19
9,12,0,14.15399980545044,18.871999740600586,0.3388023376464844,615.1412359971052,408,471,1753,1044,16,1323,425,19
10,12,0,15.726666450500488,18.871999740600586,0.34677934646606445,591.7149322803293,393,453,1753,1044,16,1323,425,19
10,11,0,14.47857141494751,15.92642855644226,0.35480451583862305,571.2106697912254,379,438,1753,1044,16,1323,425,19
9,10,0,12.357692241668701,13.730769157409668,0.3628425598144531,553.5282717726686,367,425,1753,1044,16,1323,425,19
9,12,0,14.15399980545044,18.871999740600586,0.3709554672241211,530.7559744448315,353,407,1753,1044,16,1323,425,19
