dx,dy,rx,ry,button,time,targetX,targetY,targetSize,distance,directionX,directionY
1,1,0.5799999833106995,0.5799999833106995,0,1.185638427734375,133,24,53,955.5694637230723,-828,-477
1,1,0.5799999833106995,0.5799999833106995,0,1.1856493949890137,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.1859073638916016,133,24,53,955.5694637230723,-828,-477
1,1,0.5799999833106995,0.5799999833106995,0,1.1880204677581787,133,24,53,955.5694637230723,-828,-477
1,1,0.5799999833106995,0.5799999833106995,0,1.1933274269104004,133,24,53,955.5694637230723,-828,-477
1,1,0.5799999833106995,0.5799999833106995,0,1.1933393478393555,133,24,53,955.5694637230723,-828,-477
1,1,0.5799999833106995,0.5799999833106995,0,1.1940104961395264,133,24,53,955.5694637230723,-828,-477
1,1,0.5799999833106995,0.5799999833106995,0,1.1959195137023926,133,24,53,955.5694637230723,-828,-477
1,1,0.5799999833106995,0.5799999833106995,0,1.1980955600738525,133,24,53,955.5694637230723,-828,-477
1,0,0.5799999833106995,-0.0,0,1.2043025493621826,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.2045423984527588,133,24,53,955.5694637230723,-828,-477
1,1,0.5799999833106995,0.5799999833106995,0,1.204554557800293,133,24,53,955.5694637230723,-828,-477
1,0,0.5799999833106995,-0.0,0,1.2059614658355713,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.2112493515014648,133,24,53,955.5694637230723,-828,-477
1,0,0.5799999833106995,-0.0,0,1.2112624645233154,133,24,53,955.5694637230723,-828,-477
1,1,0.5799999833106995,0.5799999833106995,0,1.211984395980835,133,24,53,955.5694637230723,-828,-477
1,0,0.5799999833106995,-0.0,0,1.214118480682373,133,24,53,955.5694637230723,-828,-477
1,1,0.5799999833106995,0.5799999833106995,0,1.2179913520812988,133,24,53,955.5694637230723,-828,-477
1,0,0.5799999833106995,-0.0,0,1.2220585346221924,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.2239325046539307,133,24,53,955.5694637230723,-828,-477
1,0,0.5799999833106995,-0.0,0,1.2289695739746094,133,24,53,955.5694637230723,-828,-477
1,1,0.5799999833106995,0.5799999833106995,0,1.2289824485778809,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.2339963912963867,133,24,53,955.5694637230723,-828,-477
1,0,0.5799999833106995,-0.0,0,1.2399773597717285,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.2404193878173828,133,24,53,955.5694637230723,-828,-477
1,1,0.5799999833106995,0.5799999833106995,0,1.240431547164917,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.2420403957366943,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.243978500366211,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.2485053539276123,133,24,53,955.5694637230723,-828,-477
1,1,0.5799999833106995,0.5799999833106995,0,1.2485215663909912,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.2502264976501465,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.2518694400787354,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.2576594352722168,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.2576725482940674,133,24,53,955.5694637230723,-828,-477
0,2,-0.0,1.309999942779541,0,1.2579104900360107,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.2599823474884033,133,24,53,955.5694637230723,-828,-477
0,2,-0.0,1.309999942779541,0,1.2623484134674072,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.2674803733825684,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.267493486404419,133,24,53,955.5694637230723,-828,-477
0,2,-0.0,1.309999942779541,0,1.2679345607757568,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.2699854373931885,133,24,53,955.5694637230723,-828,-477
0,2,-0.0,1.309999942779541,0,1.2765345573425293,133,24,53,955.5694637230723,-828,-477
0,2,-0.0,1.309999942779541,0,1.2769875526428223,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.2769994735717773,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.2781593799591064,133,24,53,955.5694637230723,-828,-477
0,2,-0.0,1.309999942779541,0,1.2801153659820557,133,24,53,955.5694637230723,-828,-477
-1,1,-0.5799999833106995,0.5799999833106995,0,1.2857954502105713,133,24,53,955.5694637230723,-828,-477
