dx,rx
-6,-7.835999965667725
-9,-12.357692241668701
-11,-17.299333095550537
-13,-25.165263056755066
-15,-30.992857217788696
-16,-33.956363677978516
-16,-34.77565383911133
-15,-30.992857217788696
-13,-26.058498859405518
-13,-25.165263056755066
-13,-26.058498859405518
-15,-30.992857217788696
-15,-30.992857217788696
-16,-33.05904769897461
-15,-30.067498683929443
-17,-36.07863640785217
-15,-30.067498683929443
-15,-30.067498683929443
-15,-29.036841988563538
-16,-32.071998596191406
-15,-27.908334732055664
-14,-23.519999265670776
-15,-27.908334732055664
-15,-27.908334732055664
-15,-27.908334732055664
-14,-23.519999265670776
-15,-26.6294127702713
-14,-23.519999265670776
-12,-17.37428569793701
-11,-15.103846073150635
-9,-11.753999948501587
-8,-9.859999656677246
-7,-8.62749969959259
-7,-8.260000467300415
-6,-7.080000400543213
-5,-5.0599998235702515
-5,-5.0599998235702515
-4,-3.680000066757202
-4,-3.680000066757202
-4,-3.680000066757202
-3,-2.6199998259544373
-4,-3.680000066757202
-3,-2.6199998259544373
-3,-2.6199998259544373
